,Kommune,Resumé
0,Rudersdal,"- Alkohol
- Arbejdstagerrettigheder
- Atomvåben
- Økonomiske aktiviteter der understøtter bosættelser
- Biodiversitet og dens påvirkninger
- Kontroversielle våben
- Flyselskaber
- Fossile brændstoffer
- Spil og gambling
- Schadelig miljøpraksis
- Menneskerettigheder og relaterede problemer
- ILO-konventionsbrud
- Internationale sanktioner og forretningsetik
- Involvering i kernevåben
- Israel/Palæstina konflikten
- Klimaomstillinger
- Krydstogtskibe
- Arbejdspraksis og -rettigheder
- Manglende klimaambitioner
- Militært udstyr
- Normovertrædelser relateret til menneskerettigheder
- Principal Adverse Impacts (PAI)
- SPU
- Tjenester der understøtter bosættelser
- Udnyttelse af naturressourcer
- Uldse fødevarer
- Våben og militærudstyr"
1,Odsherred,Der er ikke noget relevant data.
2,Ballerup,"- Arbejdstagerrettigheder
- Arbejdstagerrettigheder relateret til ILO-konvention 87
- Biodiversitet og dens påvirkninger
- Kontroversielle våben
- Fossile brændstoffer
- Fossil ekspansion
- Spil og gambling
- Skadelige miljøpraksisser
- Brud på ILO-standarder
- Konflikten mellem Israel og Palæstina
- Krydstogtskibes indvirkning
- Eksponering for kul (over 5%)
- Arbejdsretter (Labour rights)
- Normer for ansvarlig investering
- Principal Adverse Impacts (PAI)
- Uholdbare fødevarer"
3,Hjørring,Der er ikke noget relevant data.
4,Faaborg-Midtfyn,"- Arbejdstagerrettigheder, herunder brud på ILO-konventioner og FN Global Compact principper
- Biodiversitet og skadelige miljøpraksisser
- Kontroversielle våben og konflikter relateret til dem
- Ejendomsopkøb og negative effekter på lokalsamfund
- Flytransport og krydstogtskibe med miljøpåvirkning
- Fossile brændstoffer, herunder kul og fossil ekspansion
- Spil og gambling industrien
- Menneskerettigheder, herunder normbrud og internationale konventioner
- Usunde fødevarer som investeringstype
- Generelt manglende klimaambitioner og dårlig ledelsespraksis"
5,Frederikssund,"- Usunde fødevarer er en eksklusionsårsag for investeringer foretaget af Frederikssund.  
- Der er ingen yderligere eksklusionsårsager nævnt.  "
6,Sønderborg,Der er ikke noget relevant data.
7,Billund,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Overtrædelse af ILO-konventionen
- Kontroversielle våben
- Flyselskaber
- Menneskerettigheder
- ILO-brud
- Krænkelse af menneskerettigheder
- Manglende klimaambitioner
- Normer og normovertrædelser
- Principal Adverse Impacts (PAI)
- Involvering i tobaksprodukter
- Levering af tjenester og faciliteter, der understøtter bosættelser
- Levering af sikkerhedstjenester og udstyr til virksomheder i bosættelser
- Udnyttelse af naturressourcer, særligt vand og land
- Usunde fødevarer"
8,Viborg,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder (herunder ILO-konventionen 87)
- Krænkelse af menneskerettigheder
- Brud på FN Global Compact principperne 3 og 4
- Kontroversielle våben
- Investeringer i flyselskaber
- Israel/Palestina konflikt
- Manglende klimaambitioner
- Normvigilens vedrørende menneskerettigheder
- Principal Adverse Impacts (PAI)
- Engagement i tobaksprodukter
- Levering af tjenester til settlementer
- Levering af sikkerhedstjenester til virksomheder i settlementer
- Udvinding af termisk kul
- Usunde fødevarer"
9,Ikast-Brande,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Biodiversitet
- Kontroversielle våben
- Ejendomsopkøb
- Fossile brændstoffer og fossil ekspansion
- Gambling
- Dårlig ledelsespraksis
- Skadelige miljømæssige praksisser
- Menneskerettighedsspørgsmål
- Brud på internationale normer og konventioner
- Konflikter relateret til Israel/Palestina
- Normbrud og normovertrædelser
- Uholdbare klimaambitioner
- Usunde fødevarer
- Krydstogtskibe
- Kul-eksponering
- Termisk kuludvinding
- Flyselskaber
- Våben"
